topic,statementFirst,name1,name2,QUD,statement,choiceNameFirst,choice1,choice2
first,first,Themaglin,Rebosen,Can you tell me something about Themaglin?,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,first,Themaglin,Rebosen,Can you tell me something about Rebosen?,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,second,Themaglin,Rebosen,Can you tell me something about Themaglin?,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,second,Themaglin,Rebosen,Can you tell me something about Rebosen?,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,first,Themaglin,Rebosen,Can you tell me something about Themaglin?,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,first,Themaglin,Rebosen,Can you tell me something about Rebosen?,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,second,Themaglin,Rebosen,Can you tell me something about Themaglin?,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,second,Themaglin,Rebosen,Can you tell me something about Rebosen?,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,first,Themaglin,Denoden,Can you tell me something about Themaglin?,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,first,Themaglin,Denoden,Can you tell me something about Denoden?,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,second,Themaglin,Denoden,Can you tell me something about Themaglin?,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,second,Themaglin,Denoden,Can you tell me something about Denoden?,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,first,Themaglin,Denoden,Can you tell me something about Themaglin?,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,first,Themaglin,Denoden,Can you tell me something about Denoden?,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,second,Themaglin,Denoden,Can you tell me something about Themaglin?,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,second,Themaglin,Denoden,Can you tell me something about Denoden?,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,first,Themaglin,Flembers,Can you tell me something about Themaglin?,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,first,Themaglin,Flembers,Can you tell me something about Flembers?,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,second,Themaglin,Flembers,Can you tell me something about Themaglin?,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,second,Themaglin,Flembers,Can you tell me something about Flembers?,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,first,Themaglin,Flembers,Can you tell me something about Themaglin?,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,first,Themaglin,Flembers,Can you tell me something about Flembers?,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,second,Themaglin,Flembers,Can you tell me something about Themaglin?,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,second,Themaglin,Flembers,Can you tell me something about Flembers?,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,first,Themaglin,Agoriv,Can you tell me something about Themaglin?,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,first,Themaglin,Agoriv,Can you tell me something about Agoriv?,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,second,Themaglin,Agoriv,Can you tell me something about Themaglin?,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,second,Themaglin,Agoriv,Can you tell me something about Agoriv?,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,first,Themaglin,Agoriv,Can you tell me something about Themaglin?,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,first,Themaglin,Agoriv,Can you tell me something about Agoriv?,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,second,Themaglin,Agoriv,Can you tell me something about Themaglin?,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,second,Themaglin,Agoriv,Can you tell me something about Agoriv?,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,first,Themaglin,Ceflar,Can you tell me something about Themaglin?,Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,first,Themaglin,Ceflar,Can you tell me something about Ceflar?,Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,second,Themaglin,Ceflar,Can you tell me something about Themaglin?,Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,second,Themaglin,Ceflar,Can you tell me something about Ceflar?,Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,first,Themaglin,Ceflar,Can you tell me something about Themaglin?,Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,first,Themaglin,Ceflar,Can you tell me something about Ceflar?,Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,second,Themaglin,Ceflar,Can you tell me something about Themaglin?,Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,second,Themaglin,Ceflar,Can you tell me something about Ceflar?,Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,first,Rebosen,Themaglin,Can you tell me something about Rebosen?,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,first,Rebosen,Themaglin,Can you tell me something about Themaglin?,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,second,Rebosen,Themaglin,Can you tell me something about Rebosen?,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,second,Rebosen,Themaglin,Can you tell me something about Themaglin?,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,first,Rebosen,Themaglin,Can you tell me something about Rebosen?,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,first,Rebosen,Themaglin,Can you tell me something about Themaglin?,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,second,Rebosen,Themaglin,Can you tell me something about Rebosen?,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,second,Rebosen,Themaglin,Can you tell me something about Themaglin?,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,first,Rebosen,Denoden,Can you tell me something about Rebosen?,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,first,Rebosen,Denoden,Can you tell me something about Denoden?,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,second,Rebosen,Denoden,Can you tell me something about Rebosen?,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,second,Rebosen,Denoden,Can you tell me something about Denoden?,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,first,Rebosen,Denoden,Can you tell me something about Rebosen?,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,first,Rebosen,Denoden,Can you tell me something about Denoden?,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,second,Rebosen,Denoden,Can you tell me something about Rebosen?,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,second,Rebosen,Denoden,Can you tell me something about Denoden?,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,first,Rebosen,Flembers,Can you tell me something about Rebosen?,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,first,Rebosen,Flembers,Can you tell me something about Flembers?,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,second,Rebosen,Flembers,Can you tell me something about Rebosen?,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,second,Rebosen,Flembers,Can you tell me something about Flembers?,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,first,Rebosen,Flembers,Can you tell me something about Rebosen?,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,first,Rebosen,Flembers,Can you tell me something about Flembers?,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,second,Rebosen,Flembers,Can you tell me something about Rebosen?,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,second,Rebosen,Flembers,Can you tell me something about Flembers?,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,first,Rebosen,Agoriv,Can you tell me something about Rebosen?,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,first,Rebosen,Agoriv,Can you tell me something about Agoriv?,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,second,Rebosen,Agoriv,Can you tell me something about Rebosen?,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,second,Rebosen,Agoriv,Can you tell me something about Agoriv?,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,first,Rebosen,Agoriv,Can you tell me something about Rebosen?,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,first,Rebosen,Agoriv,Can you tell me something about Agoriv?,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,second,Rebosen,Agoriv,Can you tell me something about Rebosen?,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,second,Rebosen,Agoriv,Can you tell me something about Agoriv?,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,first,Rebosen,Ceflar,Can you tell me something about Rebosen?,Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,first,Rebosen,Ceflar,Can you tell me something about Ceflar?,Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,second,Rebosen,Ceflar,Can you tell me something about Rebosen?,Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,second,Rebosen,Ceflar,Can you tell me something about Ceflar?,Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
