condition,name1,name2,promptPart1,promptPart2,choiceNameFirst,choice1,choice2
firstTopic,Themaglin,Rebosen,Speaking of Themaglin, it is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
firstTopic,Themaglin,Rebosen,Speaking of Themaglin, it is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
secondTopic,Themaglin,Rebosen,Speaking of Rebosen,Themaglin is associated with it.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
secondTopic,Themaglin,Rebosen,Speaking of Rebosen,Themaglin is associated with it.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
firstTopic,Themaglin,Denoden,Speaking of Themaglin, it is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
firstTopic,Themaglin,Denoden,Speaking of Themaglin, it is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
secondTopic,Themaglin,Denoden,Speaking of Denoden,Themaglin is associated with it.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
secondTopic,Themaglin,Denoden,Speaking of Denoden,Themaglin is associated with it.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
firstTopic,Themaglin,Flembers,Speaking of Themaglin, it is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
firstTopic,Themaglin,Flembers,Speaking of Themaglin, it is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
secondTopic,Themaglin,Flembers,Speaking of Flembers,Themaglin is associated with it.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
secondTopic,Themaglin,Flembers,Speaking of Flembers,Themaglin is associated with it.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
firstTopic,Themaglin,Agoriv,Speaking of Themaglin, it is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
