name1,name2,name3,name4,name5,name6,prompt,choice1,choice2
Themaglin,Rebosen,Denoden,Flembers,Agoriv,Ceflar,Agoriv is associated with Ceflar.,Agoriv causes Ceflar.,Ceflar causes Agoriv.
Themaglin,Rebosen,Denoden,Flembers,Ceflar,Agoriv,Ceflar is associated with Agoriv.,Ceflar causes Agoriv.,Agoriv causes Ceflar.
Themaglin,Rebosen,Denoden,Agoriv,Flembers,Ceflar,Flembers is associated with Ceflar.,Flembers causes Ceflar.,Ceflar causes Flembers.
Themaglin,Rebosen,Denoden,Agoriv,Ceflar,Flembers,Ceflar is associated with Flembers.,Ceflar causes Flembers.,Flembers causes Ceflar.
Themaglin,Rebosen,Denoden,Ceflar,Flembers,Agoriv,Flembers is associated with Agoriv.,Flembers causes Agoriv.,Agoriv causes Flembers.
Themaglin,Rebosen,Denoden,Ceflar,Agoriv,Flembers,Agoriv is associated with Flembers.,Agoriv causes Flembers.,Flembers causes Agoriv.
Themaglin,Rebosen,Flembers,Denoden,Agoriv,Ceflar,Agoriv is associated with Ceflar.,Agoriv causes Ceflar.,Ceflar causes Agoriv.
Themaglin,Rebosen,Flembers,Denoden,Ceflar,Agoriv,Ceflar is associated with Agoriv.,Ceflar causes Agoriv.,Agoriv causes Ceflar.
Themaglin,Rebosen,Flembers,Agoriv,Denoden,Ceflar,Denoden is associated with Ceflar.,Denoden causes Ceflar.,Ceflar causes Denoden.
Themaglin,Rebosen,Flembers,Agoriv,Ceflar,Denoden,Ceflar is associated with Denoden.,Ceflar causes Denoden.,Denoden causes Ceflar.
Themaglin,Rebosen,Flembers,Ceflar,Denoden,Agoriv,Denoden is associated with Agoriv.,Denoden causes Agoriv.,Agoriv causes Denoden.
Themaglin,Rebosen,Flembers,Ceflar,Agoriv,Denoden,Agoriv is associated with Denoden.,Agoriv causes Denoden.,Denoden causes Agoriv.
